,PlayerId,BaseProbability,OPLAYER_ID_SS,OPLAYER_FULL_NAME,TotalAttempts,TotalMakes,PaddedProbabilities,ScaledAttempts,CombinedEstimate
113,63dce3f3-2081-4a8c-8166-45a4bd39766a,0.4010574892122289,63dce3f3-2081-4a8c-8166-45a4bd39766a,Svi Mykhailiuk,292,122,0.373320537428023,0.377431906614786,0.3837893480236182
114,64c01255-432f-4e9b-a475-6f8c38e8e882,0.30346586250094093,64c01255-432f-4e9b-a475-6f8c38e8e882,Daniel Theis,122,36,0.3474770642201835,0.1569390402075227,0.3405699884639859
115,656123f2-9ad1-4c7b-b43d-b96ce6cebfac,0.3690591149770479,656123f2-9ad1-4c7b-b43d-b96ce6cebfac,Lonzo Ball,400,152,0.36434782608695654,0.5175097276264591,0.3667859639172373
116,67978c8b-f7b3-4c03-98c5-bea5dd7fa143,0.35990003356058925,67978c8b-f7b3-4c03-98c5-bea5dd7fa143,Lonnie Walker IV,100,40,0.3611764705882353,0.12840466926070038,0.3610125701138683
117,687e5014-1f2a-4617-9106-898b683807f2,0.31874696674655084,687e5014-1f2a-4617-9106-898b683807f2,Hamidou Diallo,62,17,0.3497536945812808,0.07911802853437094,0.34730050340369517
118,693200f7-f4ec-405e-a624-e013e291e037,0.33709574117880475,693200f7-f4ec-405e-a624-e013e291e037,Luka Samanic,8,3,0.3562005277044855,0.00907911802853437,0.3560270730927089
119,6b3245e8-9d2b-4aa3-b3da-e94924613ab8,0.3499274587868381,6b3245e8-9d2b-4aa3-b3da-e94924613ab8,Luka Doncic,591,200,0.3482475764354959,0.7652399481193255,0.3495330895188836
120,6c971d53-3cd2-452e-af3e-bef339ad3929,0.32615538012240536,6c971d53-3cd2-452e-af3e-bef339ad3929,Naz Reid,98,32,0.35259433962264153,0.125810635538262,0.34926803732494643
121,6c9b69dd-c0e1-42d1-85ae-7c0af79d07fc,0.34103372323493514,6c9b69dd-c0e1-42d1-85ae-7c0af79d07fc,Anfernee Simons,240,81,0.3515151515151515,0.3099870298313878,0.3482660446941765
122,6d399776-0a8b-4a5e-8e08-169436625746,0.32942885637497926,6d399776-0a8b-4a5e-8e08-169436625746,Malcolm Brogdon,254,84,0.34960159362549803,0.32814526588845655,0.3429820053967286
123,6d56e1fd-6fd3-4c89-a0b7-198a5968d09c,0.3160110796864183,6d56e1fd-6fd3-4c89-a0b7-198a5968d09c,De'Anthony Melton,142,42,0.34641255605381166,0.1828793774319066,0.34085275298273193
124,6e7b6d33-81f7-48b2-923c-cb505f2585f4,0.338485177527076,6e7b6d33-81f7-48b2-923c-cb505f2585f4,Donte DiVincenzo,268,91,0.3516699410609037,0.3463035019455253,0.3471040112768155
