,ATL,BOS,BKN,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
11,119.33793134960513,127.02565417337283,112.728612430293,105.6736151203908,108.88467333133825,111.31454834729124,123.3348373876699,119.82815843200429,105.81162450036076,114.28812957242762,111.0301196514767,125.40222372268755,111.91767582884155,100.30822330435797,110.22099242725521,120.6139102599339,112.95311814023341,112.64224452223496,114.75040546964934,119.47524756009666,107.39396461119817,119.82331811503248,118.44756795456453,98.11325818637533,116.14135317132859,101.97141603007952,106.58681477010377,113.49380339662999,105.63620796052835
12,121.17590018699808,126.1843096698013,111.86138476965948,105.74777179774858,108.16497884847853,112.34891030302553,123.34585957769721,119.4836804629711,105.20077409311466,114.11020443803623,111.19091160556408,127.27788669611677,111.86766284806828,100.1606461187895,109.66719071975668,121.47805031181942,113.37142486162317,113.50618534526593,115.73251074158624,119.65498420216906,108.00643376977658,120.4620337108966,118.82616996134047,97.50682141809396,114.48511702800343,102.27908143925093,108.44916454614746,113.83994395690965,106.7430467920319
13,121.75863584563388,125.43707820891801,112.63606559095348,106.07380114381205,108.1392949885159,112.33651927263855,122.90987230087562,118.87040186474492,105.05078360255531,113.93370771327395,110.74704970370719,127.39658395782908,111.59464057638552,99.14490881164825,110.86878832256541,123.04383493304265,113.54293359658337,114.82567492871212,114.65022981554503,121.58717089383177,109.05699880682171,119.78634269424856,119.97016338714327,98.34987624914454,114.41273764039857,101.78123727686199,108.04306733491556,112.51315391423802,106.86582249256521
14,122.63460036747131,125.46299295477517,112.84776401520703,105.94166165592443,108.13009371674538,111.52332959133334,122.20899212996464,119.42822044560356,104.82878879120646,115.0709245081698,111.18863749332047,128.4691485888038,112.63690046934569,98.42655058722099,112.51500408286982,122.72588434326244,113.31606813552578,115.2413826909445,113.83452877496754,122.04605255799295,110.35718735975956,118.64415400312119,120.36302942167109,99.46372944424985,115.08501743786354,101.2797485828177,108.90484648463278,112.14759942644618,107.63277929370858
15,121.58406082585032,123.99820428135304,113.68792874991004,104.94487039608155,108.0394107155318,111.2831203780031,120.68211466109636,117.60949576721951,105.1156861319664,115.11726901454642,112.69859596433483,127.31317439721093,112.14907141421882,98.0439624886415,111.5659908883943,123.18215967787643,113.7747614528421,115.46584881110867,114.53741943628802,122.6787419621841,110.3401146319111,119.40122334509093,120.40399267394686,99.05681654330772,115.37650815585492,101.18236218046084,110.08776293869259,111.68952045880698,107.19516013972179
16,120.51544895149662,123.86853799675602,113.64209442656899,106.27314566625279,108.48521964771572,110.98313246396457,121.21575805308417,118.29801144082339,104.49604176806481,114.93561133039454,111.56325052043313,127.40003701815303,112.3343514974701,98.29386457176464,110.83892699756298,122.39100987350767,113.31682504313514,114.66807017469709,114.89546692690313,121.73437023856837,111.03832286949267,120.85641361386949,121.01402499563856,99.24364418784909,115.5688446164807,101.6528064600954,109.526467331087,112.12133157436979,107.55971873008298
17,120.90096128328268,124.69270917694784,114.81523259850181,106.77945800885306,109.02499838202944,111.77765772916737,120.1375068703353,118.29476911028004,104.03969521456868,115.11033562356276,111.46590496219693,128.90808870633742,111.5419160517428,98.62630945755296,111.50883111899306,123.1244655650753,112.79413930666665,115.09152386098401,115.18210446834807,122.39687470666854,112.2339672371412,120.63739025977941,120.48247353222607,99.40059507092973,115.6235345629475,102.60913604982287,109.07910014666385,111.22651790298583,107.87617596777457
18,120.78061456681321,124.97132236481912,115.47996291701374,106.18627504135138,108.48362242280955,111.13180400064091,120.048584192209,120.1297095428886,104.28170029669896,115.8547648646143,111.73242504944132,128.67657135126007,112.38452585206592,98.58004152679666,112.66701687072242,122.16167926306686,113.74753973408592,115.68653682764105,115.6382930348719,122.66953791997909,112.7695659949162,120.39424247041177,120.28827972001764,99.50037514301277,115.92263083954721,102.51869127795993,109.30537633787323,110.19347806682542,108.23763831328785
19,120.30777253750566,124.49303555610378,115.0567612430071,106.63367694952747,108.37194023257524,111.08532593106747,121.40266262421797,120.50909308539005,103.928150857258,115.68712580880782,110.61974342960012,128.59551981609957,112.02446141087039,98.93181516238496,113.59216264336399,122.6950782879364,113.07343322522678,116.12804393512977,115.88494495886178,121.83990037490857,112.04672698818055,120.74338023129076,120.0731372332873,99.509937035207,116.02514591632327,101.8198754858316,109.18359412178926,110.31122113606038,108.61803321002516
20,120.10448204082316,125.4799175298436,115.40654013818146,106.97360672105867,109.34085494605576,111.5544080546289,121.57505675567582,120.0706759733167,103.50542956697295,115.54458538104643,110.65407552482033,128.6138325769405,111.70081720481423,99.05579428160227,113.54859044442424,124.06008450461279,114.09146547903708,116.63261492274468,116.41902975499477,121.99778684205486,111.7348065349786,121.07802428155469,119.41858140185238,99.60191030205043,116.8942407829329,102.36725059456067,108.85816781899702,109.42444385564539,107.71983794266065
21,120.39138669081935,125.81475850710896,115.43049873912882,106.5250951294025,109.44365200862336,111.540198015545,121.66073992352973,119.51340743698553,102.68305210470355,115.83393405879556,110.31669482003032,128.09962009998992,111.62755184617114,99.37917022747472,112.74798599507584,123.69720731292804,113.64123321468337,117.30705908619872,117.44088234036732,122.54119436812869,112.20225545593571,121.77068599361591,119.03456028478902,100.78572867965507,115.96080569027066,101.068858094566,109.15682240989749,109.1499920990531,106.73601311282802
22,120.77045802207941,125.90911356201293,115.77420458134179,106.30096768462906,110.28144992206947,111.09588274613489,122.28703101798034,119.26579504628437,103.20414212124874,115.76748637010101,110.79407692321895,127.43728348397937,112.47716838314031,99.08508666860905,113.2498595121393,123.85637529465521,113.85865964439978,115.89651771261545,117.08991784881073,122.28888886339637,112.1519028282887,121.980489199471,118.9358377285216,101.37510744915535,116.16081223336721,101.1676712856418,110.10695962689537,109.34682325311891,106.97574649547428
23,121.03841902492482,126.48860277653961,114.89278235179013,104.92434782070184,110.67829559454525,111.36623381341889,121.35779062633023,119.94805321240224,103.20788718814048,115.95240828269219,111.46098417588219,126.78532556295954,113.37283074943028,98.72537775022161,113.36697689538714,124.20623175609923,114.55977165826198,116.21714383338228,118.37006671548691,122.43140184506068,112.1193771954287,121.94481031509976,119.01466921676509,101.71444050090436,116.78374170292366,102.25946796521437,111.09700343541307,109.54778685695672,107.47582599301218
24,121.23499440896097,126.32928845967565,115.02942523548339,104.47648682556489,110.74297310172724,111.38508492668801,121.73169637432771,120.21551473840198,102.35580003149292,116.48142351559854,112.17567396530283,126.87087158474978,113.30287482154597,98.07096086047106,113.47104323569691,125.21923629052006,114.6163906556978,117.18714729081158,118.51108875212687,122.03397252228262,111.43827379170136,122.72233242529485,119.40013942506586,102.17711372536903,117.70371479914819,101.9761001335682,110.66945921243575,110.41881720608966,107.16619072582228
25,121.57918453856189,126.30640998373384,114.67341400911454,104.66846134121046,111.41752673385622,112.28038884808359,121.15686747665131,120.36252161672816,102.43224235699694,116.80382300627633,112.15752930643998,127.99580334826344,113.42444636722902,98.59278100558981,114.12442464657414,125.64036522239111,114.55595304510221,117.07306185976692,118.23399925173794,122.81961457908764,111.31081174039115,122.10506159491152,119.02933668866024,102.10250051898048,118.06121339717863,102.02638849134073,110.92591377649993,110.1777711939817,107.74105452795443
26,122.31458347148236,127.87716701359712,114.0337713958226,104.12394988068652,112.09068784175045,113.12452954319708,121.16421237046764,120.40017921697648,103.00213982643278,117.13151538498802,112.02718431069016,127.13600058221925,113.177562526205,99.07147464329928,113.88568069932722,125.60648474743084,114.61892913692951,118.01404426833433,118.38327916833015,123.0202680110028,111.20490852287378,122.30179368783568,118.4262681832924,102.45173461468814,118.32326695410167,101.56069078910033,110.81101117940307,110.83029488512457,108.04011912672523
27,121.96696575400166,129.1113619422845,114.44408757476151,103.90762378406525,112.12865095548368,113.71513361732399,119.84112610508481,121.19659522948577,103.10108471475648,117.5170056966087,112.08880959940649,126.80897299395059,112.85957422714762,99.78252025759204,114.17746967501546,125.2829034554363,114.5783383732927,118.12110062535622,117.95036648964404,123.44595952436573,111.69174079254756,122.28159325610078,117.99900002375999,102.42129911628507,117.68088602580359,101.62669874729232,110.67394734156554,111.10412648883003,108.17474857285202
28,121.94759998394976,129.46008237495374,114.8371134302544,103.76859592611615,112.4457501042198,113.69662092227543,120.51198274447013,121.1757509371411,103.40048382065056,118.02031878865533,112.07548307334376,126.7670436726624,112.72777015817174,99.57751500822705,114.43854195513136,125.53835558736543,114.22658857473193,118.79292024828385,118.44552786162127,123.8450960122751,111.90690719600654,121.8751907629519,117.8449302596464,103.41869199618128,117.746894807865,101.90212561684449,111.02170998161469,111.33973715158893,108.11815578242371
29,121.77264921198363,129.34017311420303,114.78674860779192,104.36570845810314,112.57470236359758,113.90798481541253,120.91221063126798,121.61144594911494,103.47511250699237,117.93225861857312,112.74423447239948,126.75361484639106,113.44929353453958,99.43473438649269,114.51196087968474,125.59706320432736,114.34525600242405,118.56195401755615,118.53549524081097,123.84453210343068,111.13350347697214,121.64369678065165,118.37493814420912,103.18544157242377,117.77949817843704,102.33883184425824,111.57199381745309,112.00084937755886,107.57865067030386
30,121.38733797064948,129.39705199544164,114.94346476208904,103.87479227629954,112.08056259983057,113.8822805929471,120.63587064187205,121.00597727457226,103.62739033022375,117.53027169110511,113.36989999540859,127.42557979335325,113.6476686997628,99.29652425677669,114.56902977733365,126.52606782297875,114.142378771195,118.01483382745114,117.95653483517131,124.00517378194115,111.07092081632945,122.2301025277421,119.5118617842364,103.96617222758104,118.05795522455789,102.94808926806904,111.83066878883211,112.57852788679918,107.77552469323513
31,121.44951732652868,129.67334823383507,114.73701753365228,103.82370135675275,112.33528507895883,113.68926112351623,120.28458261978398,121.03907810654374,104.23575220386518,117.7908583353295,113.30987974120102,127.22311335577163,114.16635770482806,98.7251951669389,114.16020987246453,126.32211708164269,114.00322680408186,118.17169679977862,118.25644801524682,124.33191290148304,110.96850116166858,121.3666255605818,119.45687605513862,103.08184647396884,117.46783198985291,102.52985688202783,112.18854860324136,112.45020856142669,107.90733488862705
32,121.967650850924,129.7911435176926,114.27450566081903,103.36605416697584,111.98000733635612,113.89454465858965,120.83639351421942,121.95262350946612,104.2321807443659,118.04514597798915,112.54661703875374,127.66580905816795,113.84052122270406,98.77624123991868,113.8711867874144,125.80084863124398,114.01414141551867,118.71990576729515,118.1709863058471,124.72282476785671,111.14348869041197,120.86054750569885,119.09813256991967,102.47620922908334,117.5058572061012,102.24365280583598,112.46105197721533,112.45125452108968,107.63758267639008
33,121.52888757452479,129.5454137806583,113.32111157772329,103.37294522969846,112.0339799826046,115.09078898297264,119.62882137778972,120.91895267691613,105.05970949418075,118.68517725305897,112.47808880782173,128.44189184210416,113.6458512595305,98.77063589049607,113.57842275828484,125.86994928648353,114.24279189953499,118.844672067875,118.29726235798414,124.4817690803925,111.27469243005191,119.76281013844735,119.6297163822709,101.94681330264257,118.0501049645888,102.57671162774474,112.41809728391556,112.87217056119763,106.881564449728
34,120.93276081736595,129.36162693174654,112.77893207047366,103.14072937821086,111.3266827712406,115.1942687160129,119.81598729404608,120.8752894909351,105.03565677163999,118.58215823111439,112.58386975148537,127.51681723684158,112.89252641622599,99.39649933198129,113.12680936280807,125.83965557415875,114.23267531440247,119.2260656411219,118.69457721874451,124.97575055417593,111.51984068302309,119.297647725884,119.70598118558733,102.55235078024535,117.61392664387452,102.9290021954465,112.801908675049,113.81579992999748,106.6513348508937
