,Unnamed: 0,LINEUP_ID,E_VAL,MINS,player_one,player_two,player_three,player_four,player_five,PLAYER_NAMES,PTS,E_VAL_PER_MIN,PTS_PER_MIN
34,4,-201988-1627749-1629726-1630168-1630180-,33.667,14.616666666666667,201988,1627749,1629726,1630168,1630180,"('Patty Mills', 'Dejounte Murray', 'Garrison Mathews', 'Onyeka Okongwu', 'Saddiq Bey')",30,2.3033295324971492,2.0524515393386547
35,11,-202083-203992-1629027-1630168-1630552-,26.717,13.3,202083,203992,1629027,1630168,1630552,"('Wesley Matthews', 'Bogdan Bogdanovic', 'Trae Young', 'Onyeka Okongwu', 'Jalen Johnson')",29,2.008796992481203,2.180451127819549
36,35,-203992-1629027-1630168-1630180-1641754-,23.117,12.583333333333334,203992,1629027,1630168,1630180,1641754,"('Bogdan Bogdanovic', 'Trae Young', 'Onyeka Okongwu', 'Saddiq Bey', 'Seth Lundy')",34,1.837112582781457,2.7019867549668874
37,5,-201988-203991-203992-1627749-1630180-,25.868,12.033333333333331,201988,203991,203992,1627749,1630180,"('Patty Mills', 'Clint Capela', 'Bogdan Bogdanovic', 'Dejounte Murray', 'Saddiq Bey')",37,2.149695290858726,3.0747922437673134
38,18,-203991-203992-1627749-1629027-1629631-,24.076,11.993333333333334,203991,203992,1627749,1629027,1629631,"('Clint Capela', 'Bogdan Bogdanovic', 'Dejounte Murray', 'Trae Young', ""De'Andre Hunter"")",33,2.007448582545859,2.7515286270150083
39,28,-203992-1627749-1629631-1630168-1631100-,18.128,11.833333333333334,203992,1627749,1629631,1630168,1631100,"('Bogdan Bogdanovic', 'Dejounte Murray', ""De'Andre Hunter"", 'Onyeka Okongwu', 'AJ Griffin')",28,1.531943661971831,2.3661971830985915
40,26,-203992-1627749-1629027-1629631-1630168-,22.813,11.405,203992,1627749,1629027,1629631,1630168,"('Bogdan Bogdanovic', 'Dejounte Murray', 'Trae Young', ""De'Andre Hunter"", 'Onyeka Okongwu')",21,2.000263042525208,1.841297676457694
41,34,-203992-1628981-1629027-1629726-1630552-,23.068,11.4,203992,1628981,1629027,1629726,1630552,"('Bogdan Bogdanovic', 'Bruno Fernando', 'Trae Young', 'Garrison Mathews', 'Jalen Johnson')",30,2.0235087719298246,2.631578947368421
42,29,-203992-1627749-1629631-1630168-1630552-,16.671,10.65,203992,1627749,1629631,1630168,1630552,"('Bogdan Bogdanovic', 'Dejounte Murray', ""De'Andre Hunter"", 'Onyeka Okongwu', 'Jalen Johnson')",26,1.5653521126760561,2.44131455399061
43,42,-203992-1629027-1630168-1630235-1630552-,24.742,10.416666666666666,203992,1629027,1630168,1630235,1630552,"('Bogdan Bogdanovic', 'Trae Young', 'Onyeka Okongwu', 'Trent Forrest', 'Jalen Johnson')",20,2.375232,1.9200000000000002
44,10,-202083-203992-1627749-1629631-1630168-,18.877,10.4,202083,203992,1627749,1629631,1630168,"('Wesley Matthews', 'Bogdan Bogdanovic', 'Dejounte Murray', ""De'Andre Hunter"", 'Onyeka Okongwu')",21,1.8150961538461536,2.019230769230769
45,9,-202083-1627749-1629027-1630168-1630180-,18.894,10.216666666666669,202083,1627749,1629027,1630168,1630180,"('Wesley Matthews', 'Dejounte Murray', 'Trae Young', 'Onyeka Okongwu', 'Saddiq Bey')",29,1.8493311582381724,2.838499184339314
46,21,-203991-203992-1627749-1629027-1630168-,29.128,10.1,203991,203992,1627749,1629027,1630168,"('Clint Capela', 'Bogdan Bogdanovic', 'Dejounte Murray', 'Trae Young', 'Onyeka Okongwu')",28,2.883960396039604,2.7722772277227725
47,8,-201988-203992-1630168-1630180-1630235-,26.22,10.041666666666666,201988,203992,1630168,1630180,1630235,"('Patty Mills', 'Bogdan Bogdanovic', 'Onyeka Okongwu', 'Saddiq Bey', 'Trent Forrest')",29,2.6111203319502074,2.887966804979253
168,23,-201950-204001-1627759-1628369-1628401-,735.049,361.685,201950,204001,1627759,1628369,1628401,"('Jrue Holiday', 'Kristaps Porzingis', 'Jaylen Brown', 'Jayson Tatum', 'Derrick White')",941,2.0322905290515227,2.6017114339826093
169,23,-201143-201950-1627759-1628369-1628401-,348.788,195.22333333333333,201143,201950,1627759,1628369,1628401,"('Al Horford', 'Jrue Holiday', 'Jaylen Brown', 'Jayson Tatum', 'Derrick White')",471,1.7866102071132208,2.4126214421090375
170,24,-201143-201950-1628369-1630202-1630573-,126.096,68.23833333333333,201143,201950,1628369,1630202,1630573,"('Al Horford', 'Jrue Holiday', 'Jayson Tatum', 'Payton Pritchard', 'Sam Hauser')",179,1.8478763158537481,2.623159025962924
171,25,-201143-201950-204001-1628369-1628401-,108.793,55.78833333333333,201143,201950,204001,1628369,1628401,"('Al Horford', 'Jrue Holiday', 'Kristaps Porzingis', 'Jayson Tatum', 'Derrick White')",133,1.950103068144475,2.384010993935411
172,26,-201143-204001-1627759-1628369-1628401-,119.422,55.03333333333333,201143,204001,1627759,1628369,1628401,"('Al Horford', 'Kristaps Porzingis', 'Jaylen Brown', 'Jayson Tatum', 'Derrick White')",155,2.169993943064809,2.8164748637189585
173,27,-201950-1628369-1628436-1630202-1630573-,123.34,64.78333333333333,201950,1628369,1628436,1630202,1630573,"('Jrue Holiday', 'Jayson Tatum', 'Luke Kornet', 'Payton Pritchard', 'Sam Hauser')",152,1.9038847440185234,2.3462824800617446
174,25,-201143-201950-204001-1627759-1628369-,109.209,53.17166666666667,201143,201950,204001,1627759,1628369,"('Al Horford', 'Jrue Holiday', 'Kristaps Porzingis', 'Jaylen Brown', 'Jayson Tatum')",135,2.0538946180609976,2.538946180609974
175,28,-201143-204001-1627759-1628401-1630573-,86.24,46.27,201143,204001,1627759,1628401,1630573,"('Al Horford', 'Kristaps Porzingis', 'Jaylen Brown', 'Derrick White', 'Sam Hauser')",115,1.863842662632375,2.485411713853469
176,26,-201143-201950-204001-1627759-1628401-,63.513,33.778333333333336,201143,201950,204001,1627759,1628401,"('Al Horford', 'Jrue Holiday', 'Kristaps Porzingis', 'Jaylen Brown', 'Derrick White')",94,1.8802881531553755,2.782848966299896
177,31,-201950-1628369-1629674-1630202-1630573-,63.443,30.05,201950,1628369,1629674,1630202,1630573,"('Jrue Holiday', 'Jayson Tatum', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser')",76,2.1112479201331116,2.529118136439268
178,33,-201950-204001-1627759-1628401-1630573-,59.638,27.58333333333333,201950,204001,1627759,1628401,1630573,"('Jrue Holiday', 'Kristaps Porzingis', 'Jaylen Brown', 'Derrick White', 'Sam Hauser')",91,2.162102719033233,3.2990936555891244
179,24,-201143-201950-1628369-1628401-1630573-,53.768,27.12833333333333,201143,201950,1628369,1628401,1630573,"('Al Horford', 'Jrue Holiday', 'Jayson Tatum', 'Derrick White', 'Sam Hauser')",68,1.9819868526141182,2.506604411132273
180,34,-201950-204001-1627759-1628369-1630573-,50.772,26.966666666666665,201950,204001,1627759,1628369,1630573,"('Jrue Holiday', 'Kristaps Porzingis', 'Jaylen Brown', 'Jayson Tatum', 'Sam Hauser')",49,1.882768850432633,1.8170580964153278
181,31,-201950-1627759-1628401-1628436-1630573-,47.201,23.925,201950,1627759,1628401,1628436,1630573,"('Jrue Holiday', 'Jaylen Brown', 'Derrick White', 'Luke Kornet', 'Sam Hauser')",54,1.9728735632183907,2.25705329153605
